venue,innings,batting_team,bowling_team,runs_6overs,wickets,avg_rating_bats,avg_rating_bowls
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61,38,7.833333333333333,9.0
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26,38,7.666666666666667,8.833333333333334
"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Punjab Kings,53,38,8.0,9.0
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Chennai Super Kings,63,38,7.875,8.0
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,40,37,8.0625,8.666666666666666
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,55,38,8.416666666666666,9.0
Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,39,39,7.875,8.833333333333334
Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,26,36,8.0,8.833333333333334
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47,38,8.0,9.5
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40,37,7.833333333333333,9.333333333333334
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,54,36,7.916666666666667,9.0
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,53,42,8.1,9.0
Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Capitals,25,36,7.875,8.5
Rajiv Gandhi International Stadium,2,Delhi Capitals,Deccan Chargers,48,37,8.416666666666666,9.25
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,53,39,8.125,9.333333333333334
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,52,38,8.0625,8.0
Rajiv Gandhi International Stadium,1,Deccan Chargers,Rajasthan Royals,58,37,8.0,9.5
Rajiv Gandhi International Stadium,2,Rajasthan Royals,Deccan Chargers,73,37,8.083333333333334,9.166666666666666
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Mumbai Indians,60,38,7.833333333333333,9.333333333333334
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Punjab Kings,39,38,8.125,9.125
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,61,37,8.0,8.0
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,45,39,8.25,8.833333333333334
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,57,37,7.75,9.333333333333334
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45,37,8.0,9.5
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,27,39,8.05,8.375
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,60,37,8.0,8.8
"Punjab Cricket Association Stadium, Mohali",1,Delhi Capitals,Punjab Kings,45,38,8.3125,9.125
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Delhi Capitals,55,36,8.0625,8.666666666666666
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,36,38,8.0,9.5
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,45,38,7.916666666666667,8.0
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40,37,7.85,9.2
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,38,39,8.15,8.833333333333334
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,58,37,8.416666666666666,9.5
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,55,36,7.75,8.333333333333334
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,45,37,7.916666666666667,8.625
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51,41,7.6875,8.833333333333334
Rajiv Gandhi International Stadium,1,Deccan Chargers,Punjab Kings,50,38,7.833333333333333,9.0
Rajiv Gandhi International Stadium,2,Punjab Kings,Deccan Chargers,41,36,7.75,8.375
MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,47,39,8.083333333333334,8.3125
MA Chidambaram Stadium,2,Delhi Capitals,Chennai Super Kings,64,37,8.5,8.416666666666666
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Kolkata Knight Riders,49,38,7.916666666666667,8.833333333333334
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Punjab Kings,31,38,7.708333333333333,9.5
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46,38,7.833333333333333,8.375
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,33,37,7.875,9.5
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,38,37,8.0,9.0
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,44,36,8.0,8.5
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Capitals,50,37,8.0,8.333333333333334
Dr DY Patil Sports Academy,2,Delhi Capitals,Mumbai Indians,37,36,8.375,9.166666666666666
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Punjab Kings,26,39,7.65,9.0
M Chinnaswamy Stadium,2,Punjab Kings,Royal Challengers Bangalore,52,40,7.916666666666667,9.5
MA Chidambaram Stadium,1,Chennai Super Kings,Deccan Chargers,34,39,7.9,8.5
MA Chidambaram Stadium,2,Deccan Chargers,Chennai Super Kings,50,37,7.916666666666667,8.416666666666666
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,48,36,8.1875,9.333333333333334
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,34,39,8.0,8.833333333333334
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,50,38,8.375,8.125
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,62,38,8.0,8.3125
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,41,38,7.6875,9.5
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35,38,7.6875,8.75
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,50,37,8.0,9.333333333333334
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,50,38,8.125,8.625
MA Chidambaram Stadium,1,Chennai Super Kings,Punjab Kings,53,43,8.0,9.0
MA Chidambaram Stadium,2,Punjab Kings,Chennai Super Kings,35,36,7.8125,8.125
Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Deccan Chargers,43,36,7.583333333333333,8.625
Rajiv Gandhi International Stadium,2,Deccan Chargers,Kolkata Knight Riders,55,40,7.9,9.0
Sawai Mansingh Stadium,1,Delhi Capitals,Rajasthan Royals,47,37,8.5,9.333333333333334
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Capitals,21,38,8.0,8.75
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Punjab Kings,50,37,7.8,9.5
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Royal Challengers Bangalore,42,37,7.875,9.5
Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,35,39,7.625,8.416666666666666
Eden Gardens,2,Delhi Capitals,Kolkata Knight Riders,37,37,8.166666666666666,9.333333333333334
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,28,36,8.0,9.166666666666666
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,78,41,8.25,8.125
Arun Jaitley Stadium,1,Delhi Capitals,Deccan Chargers,48,38,8.416666666666666,9.0
Arun Jaitley Stadium,2,Deccan Chargers,Delhi Capitals,71,38,8.083333333333334,8.666666666666666
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,27,41,7.7,9.166666666666666
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68,38,8.125,8.666666666666666
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51,39,8.0,9.5
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,23,39,7.8,9.25
Arun Jaitley Stadium,1,Delhi Capitals,Punjab Kings,68,40,8.5,9.0
Arun Jaitley Stadium,2,Punjab Kings,Delhi Capitals,73,38,8.0,8.5625
Rajiv Gandhi International Stadium,1,Mumbai Indians,Deccan Chargers,57,37,8.083333333333334,8.375
Rajiv Gandhi International Stadium,2,Deccan Chargers,Mumbai Indians,32,39,8.1,8.875
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,35,37,7.625,8.5
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,43,38,7.875,8.875
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,41,40,7.583333333333333,8.416666666666666
M Chinnaswamy Stadium,2,Delhi Capitals,Royal Challengers Bangalore,71,37,8.5,9.5
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32,38,7.583333333333333,9.333333333333334
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,42,36,8.0625,8.625
Wankhede Stadium,1,Punjab Kings,Mumbai Indians,43,36,8.083333333333334,8.833333333333334
Wankhede Stadium,2,Mumbai Indians,Punjab Kings,68,40,8.25,9.0
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,23,36,7.625,8.5
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,44,39,7.875,9.125
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Punjab Kings,42,37,8.0,8.5
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Deccan Chargers,74,36,7.75,8.375
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,60,37,8.25,8.5
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,56,36,8.1875,9.0
MA Chidambaram Stadium,1,Rajasthan Royals,Chennai Super Kings,67,37,8.0,8.416666666666666
MA Chidambaram Stadium,2,Chennai Super Kings,Rajasthan Royals,65,37,8.083333333333334,9.25
Rajiv Gandhi International Stadium,1,Deccan Chargers,Royal Challengers Bangalore,41,39,8.0,9.0
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Deccan Chargers,43,36,7.833333333333333,8.625
Eden Gardens,1,Punjab Kings,Kolkata Knight Riders,47,40,7.916666666666667,8.5
Eden Gardens,2,Kolkata Knight Riders,Punjab Kings,51,38,7.6875,9.0
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,29,39,8.25,9.25
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,36,39,8.3125,9.166666666666666
Rajiv Gandhi International Stadium,1,Deccan Chargers,Chennai Super Kings,26,36,7.875,8.5
Rajiv Gandhi International Stadium,2,Chennai Super Kings,Deccan Chargers,44,40,8.083333333333334,8.5
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,36,36,7.833333333333333,9.166666666666666
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39,40,8.25,9.125
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Rajasthan Royals,51,37,7.875,9.333333333333334
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Punjab Kings,38,37,7.8125,9.0
Wankhede Stadium,1,Rajasthan Royals,Delhi Capitals,58,37,8.0,8.333333333333334
Wankhede Stadium,2,Delhi Capitals,Rajasthan Royals,28,39,8.15,9.333333333333334
Wankhede Stadium,1,Punjab Kings,Chennai Super Kings,35,37,7.916666666666667,8.333333333333334
Wankhede Stadium,2,Chennai Super Kings,Punjab Kings,35,38,8.416666666666666,8.75
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,42,37,8.416666666666666,9.375
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,41,36,8.083333333333334,8.5
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,29,36,8.2,8.583333333333334
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,14,42,7.875,9.5
Newlands,1,Mumbai Indians,Chennai Super Kings,40,36,8.25,8.0
Newlands,2,Chennai Super Kings,Mumbai Indians,40,38,8.1875,9.333333333333334
Newlands,1,Punjab Kings,Delhi Capitals,67,39,7.5,8.4375
Newlands,2,Delhi Capitals,Punjab Kings,58,32,8.5,8.8
Newlands,1,Kolkata Knight Riders,Deccan Chargers,21,37,7.9,8.25
